property_type,state,lat,lon,area_m2,price_mxn
apartment,Nuevo León,25.721081,-100.345581,72,1300000
apartment,Puebla,,,190,2500000
house,Morelos,23.634501,-102.552788,360,5300000
house,Morelos,,,76,820000
house,Puebla,,,200,1100000
house,San Luis Potosí,,,162,1860000
apartment,Estado de México,19.2720402,-99.572013,85,1250000
house,San Luis Potosí,22.13888212,-100.9965101,158,2120000
apartment,Distrito Federal,19.394558,-99.129707,65,758190
house,Morelos,,,216,2750000
house,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100,670000
apartment,Distrito Federal,19.3261963,-99.14058611,74,2990000
house,Yucatán,21.0552216,-89.6583682,220,2137000
house,Chihuahua,28.691416,-106.13604,236,2100000
house,Morelos,,,277,5700000
apartment,Jalisco,20.641428,-103.417295,85,1690000
house,San Luis Potosí,22.126078,-100.944672,131,1045000
house,Puebla,19.03642362,-98.19941841,337,3100000
apartment,Distrito Federal,19.367239,-99.186126,92,3500000
apartment,Guerrero,16.851935,-99.844955,195,2000000
house,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207,2750000
house,Nuevo León,25.75013289,-100.2701137,280,1990000
apartment,Estado de México,19.536253,-99.240456,99,1250000
house,Chiapas,19.673779,-101.187927,210,2600000
house,Baja California,32.4690603,-116.8196303,111,1366313
house,Yucatán,21.030771,-89.646347,150,1200000
house,Chiapas,16.717077,-93.162903,170,1800000
house,Morelos,18.813908,-99.201675,86,1000000
apartment,Distrito Federal,19.473001,-99.087491,79,680990
house,Yucatán,21.072905,-89.65963,190,1850000
house,Querétaro,20.618279,-100.346985,237,3000000
house,Yucatán,21.075163,-89.516731,300,2190000
house,Guerrero,16.86597275,-99.87171739,300,2500000
house,Chiapas,,,270,3300000
house,Estado de México,,,350,4000000
house,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232,1550000
house,Yucatán,21.017197,-89.574516,220,1750000
house,Hidalgo,20.036614,-98.77615,295,1800000
house,Yucatán,21.0399331,-89.5965747,240,1890000
house,Morelos,18.893921,-99.221429,160,2850000
house,Aguascalientes,,,140,650000
house,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115,1100000
house,Quintana Roo,21.139086,-86.84964,290,2250000
house,Chiapas,19.681248,-101.209167,180,1350000
apartment,Distrito Federal,19.271467,-99.146309,98,2486000
house,Chiapas,19.724886,-101.118018,120,1400000
house,Estado de México,19.420156,-99.249458,378,6100000
apartment,Puebla,,,212,5368000
house,Guanajuato,20.684505,-101.406695,280,3600000
house,Guanajuato,,,150,1900000
house,Puebla,18.984862,-98.222234,299,4400000
house,Distrito Federal,19.289286,-99.158066,140,2360000
house,San Luis Potosí,22.150696,-101.010025,172,1540000
apartment,Distrito Federal,19.444924,-99.139843,60,879333
house,Tabasco,18.017324,-92.899362,98,700000
house,Puebla,19.014643,-98.170731,286,4950000
house,Estado de México,,,270,6000000
house,Tamaulipas,22.258686,-97.851753,163,2000000
house,Distrito Federal,19.378482,-99.220795,100,3820163
house,Morelos,18.93409,-99.254997,240,3400000
house,Yucatán,,,385,5950000
house,Yucatán,21.0315095,-89.600513,325,3550000
apartment,Yucatán,21.072905,-89.65963,190,3500000
apartment,Morelos,18.923538,-99.241848,110,1100000
apartment,Distrito Federal,,,92,1280000
house,Querétaro,20.681293,-100.329622,155,1850000
apartment,Puebla,,,121,2390000
house,Morelos,18.821062,-98.949371,120,1320000
apartment,Guerrero,16.8531086,-99.8236533,141,2300000
apartment,Puebla,19.049024,-98.281669,127,1690000
house,Tamaulipas,22.34005336,-97.88609952,165,1700000
house,Morelos,18.862602,-99.213448,145,1850000
apartment,Morelos,,,105,1840000
apartment,Yucatán,21.018724,-89.589836,60,895000
house,Jalisco,20.569456,-103.50165,176,2350000
house,Yucatán,,,296,2600000
apartment,Distrito Federal,19.3934457,-99.1796926,100,5304678
house,Puebla,,,92,960000
apartment,Distrito Federal,19.436024,-99.15461,64,4500000
apartment,Distrito Federal,19.378009,-99.193543,180,1485600
apartment,Distrito Federal,19.416294,-99.16748,117,5499000
house,Querétaro,,,134,1690000
house,Morelos,18.859078,-99.176287,82,760000
house,Querétaro,20.692161,-100.465025,258,2800000
house,Querétaro,20.394361,-99.973053,120,1400000
house,Baja California,32.453504,-117.038495,111,1366313
house,Yucatán,,,135,1010000
house,Tabasco,23.634501,-102.552788,82,850000
house,Estado de México,19.619862,-99.146996,75,703705
house,Veracruz de Ignacio de la Llave,,,255,2850000
house,Hidalgo,20.059035,-98.790359,240,2700000
house,Estado de México,19.468129,-99.04049,86,813345
house,Yucatán,21.0424858,-89.5568382,200,1735000
house,Guerrero,16.758369,-99.768737,136,2559600
house,Querétaro,,,112,1519200
house,Nuevo León,25.6315927,-100.1953926,90,820000
apartment,Quintana Roo,21.15958774,-86.82220861,145,3160000
apartment,Guerrero,16.860338,-99.870399,250,1900000
apartment,Guerrero,16.86656582,-99.88082886,108,980000
apartment,Jalisco,20.685983,-103.447155,64,1470000
house,Yucatán,21.0751632,-89.5167298,252,1974967
apartment,Distrito Federal,19.376822,-99.174675,114,4436000
apartment,Puebla,19.0303511,-98.3143192,102,1850000
house,Distrito Federal,19.433274,-99.210758,304,4398100
apartment,Distrito Federal,19.394358,-99.177444,100,4358600
house,Yucatán,21.039522,-89.563911,146,1450000
house,Morelos,18.8954874,-99.1732936,154,1780000
house,Puebla,18.984862,-98.222234,289,4300000
house,Yucatán,21.072905,-89.65963,90,1200000
house,Morelos,18.813908,-99.201675,67,650000
house,Jalisco,20.424117,-103.29756,299,3100000
house,Yucatán,21.0381057,-89.5933722,182,1995000
house,Estado de México,19.28283025,-99.56667352,267,3000000
house,Veracruz de Ignacio de la Llave,,,370,3500000
house,Chihuahua,28.6464221,-106.0860628,233,2950000
apartment,Estado de México,19.5652097,-99.2646998,87,1850000
house,Estado de México,19.284855,-98.950752,80,1320000
house,Nayarit,20.70506,-105.269812,101,1250000
house,Distrito Federal,19.2753576,-99.1675547,370,5000000
apartment,Veracruz de Ignacio de la Llave,19.137135,-96.112946,110,1100000
house,Jalisco,20.675995,-103.420837,220,4050000
house,Tamaulipas,22.3151894,-97.8573594,318,900000
house,Distrito Federal,,,220,1600000
apartment,Distrito Federal,19.436404,-99.173617,70,1710284
house,Quintana Roo,21.095711,-86.869343,147,1869000
house,Baja California,32.509445,-116.985857,104,1500000
house,Morelos,,,333,3600000
house,Jalisco,20.616705,-103.413612,105,1250000
house,Sinaloa,,,183,725000
house,Sinaloa,23.215713,-106.418182,315,4800000
house,Yucatán,21.039522,-89.563911,277,2800000
house,Yucatán,21.072905,-89.65963,240,2335000
house,Yucatán,21.072905,-89.65963,201,1429000
apartment,Yucatán,21.015982,-89.705116,172,3350000
apartment,San Luis Potosí,22.12590752,-100.9865534,103,1020000
house,Querétaro,20.547674,-100.394761,110,980000
apartment,Jalisco,20.677448,-103.400405,135,4500000
house,Morelos,,,270,5000000
house,Veracruz de Ignacio de la Llave,20.9638852,-97.4124504,88,850000
apartment,Distrito Federal,19.4034054,-99.1825418,120,3976910
house,Querétaro,20.3951106,-99.9856344,180,1400000
house,Estado de México,19.536936,-99.22732,270,3500000
apartment,Distrito Federal,19.453142,-99.180214,68,1000000
house,Veracruz de Ignacio de la Llave,19.14966827,-96.12028599,150,1350000
house,Distrito Federal,19.3434214,-99.1294848,280,5980000
house,Hidalgo,20.099826,-98.772656,140,985000
house,Distrito Federal,19.473623,-99.124863,147,2325966
house,Querétaro,,,279,3151000
apartment,Querétaro,20.5835963,-100.3729496,144,3045000
house,Puebla,23.634501,-102.552788,173,2650000
house,Querétaro,20.58787576,-100.446496,111,1324000
house,Colima,19.232695,-103.696887,189,1200000
apartment,Baja California,32.440475,-116.983772,70,689000
house,Veracruz de Ignacio de la Llave,19.513165,-96.898109,130,2250000
house,Hidalgo,23.634501,-102.552784,140,1500000
house,Chihuahua,28.6983446,-106.0940375,350,4400000
house,Sinaloa,24.770091,-107.444782,155,1450000
house,Chiapas,,,200,1150000
house,Tamaulipas,26.078394,-98.325452,80,850000
house,Sonora,28.95479589,-111.0455946,206,1650000
house,Nuevo León,25.626854,-100.188538,170,1500000
house,Querétaro,20.662301,-100.441093,235,2500000
apartment,Yucatán,,,202,3999000
apartment,Quintana Roo,21.04980598,-86.85358784,178,3906000
house,Chiapas,16.740425,-93.12841,170,1800000
house,Chiapas,,,180,2200000
apartment,Distrito Federal,19.395097,-99.150424,65,1008953
house,Puebla,,,189,2750000
apartment,Morelos,18.960824,-99.268107,92,1100000
house,Querétaro,20.7037,-100.462857,220,3200000
house,Chihuahua,28.64073,-106.109581,300,3750000
apartment,Distrito Federal,19.305233,-99.12269,75,905000
apartment,Estado de México,19.379597,-99.293808,80,3170400
house,Estado de México,19.26183971,-99.58393506,195,2600000
apartment,Distrito Federal,19.2753576,-99.1675547,101,3295000
house,Durango,25.553129,-103.510059,187,800000
apartment,Morelos,18.93409,-99.254997,130,1800000
house,Distrito Federal,19.346687,-99.011513,115,1695000
house,Guerrero,16.838398,-99.897744,113,1850000
house,Colima,,,96,910000
house,Estado de México,19.482168,-99.264038,140,646413
house,Baja California,,,86,1042540
house,Sinaloa,24.8427771,-107.3931108,117,900000
house,Quintana Roo,21.101317,-86.862888,182,2550000
house,Querétaro,,,200,2400000
house,Quintana Roo,21.164147,-86.868479,330,3761660
house,Morelos,,,110,1663550
apartment,Nuevo León,25.647146,-100.356804,100,3800000
house,Nuevo León,25.64423457,-100.2966356,228,2700000
house,Sonora,29.0904798,-110.9747137,298,3500000
house,Yucatán,,,271,2380000
house,Baja California Sur,24.15963233,-110.3057599,96,1250000
house,Jalisco,20.784784,-103.471496,79,780000
house,Tamaulipas,22.2465535,-97.8721436,109,1500000
house,Estado de México,19.569101,-99.303513,180,4780000
house,Nuevo León,,,160,1330000
house,Yucatán,21.039522,-89.563911,214,2240000
house,Querétaro,20.555649,-100.38488,325,3920000
apartment,Distrito Federal,19.405298,-99.164986,74,4280000
apartment,Distrito Federal,19.258038,-99.161589,160,2800000
house,Morelos,18.823669,-99.227295,165,1650000
apartment,Distrito Federal,19.377171,-99.188503,75,2028000
house,Yucatán,21.017197,-89.574516,206,2160500
house,Morelos,18.892714,-99.1996,90,1100000
house,Estado de México,19.636706,-99.101569,250,2500000
house,Yucatán,21.039522,-89.563911,274,2895000
house,Veracruz de Ignacio de la Llave,,,195,2300000
house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,235,3150000
house,Yucatán,21.07671918,-89.62775633,155,1290000
apartment,Distrito Federal,19.401509,-99.154034,90,2211668
apartment,Morelos,,,83,1100000
house,Tabasco,18.072582,-93.165413,350,1260000
house,Chiapas,,,95,1210000
house,Veracruz de Ignacio de la Llave,,,100,700000
house,Estado de México,,,210,4400000
house,Hidalgo,,,130,1280000
house,Yucatán,21.072905,-89.65963,190,1850000
house,Tamaulipas,22.247913,-97.875565,263,2420000
house,San Luis Potosí,22.148722,-101.00119,190,2200000
house,Baja California,32.494743,-117.016784,92,980000
house,San Luis Potosí,22.18978923,-100.9525537,138,950000
house,Puebla,18.96295456,-98.27967882,222,2880000
house,Morelos,18.8859084,-99.19064,110,1650000
house,Chihuahua,28.643902,-106.130157,355,4950000
apartment,Distrito Federal,19.347683,-99.165877,135,4500000
apartment,Distrito Federal,19.375374,-99.137657,110,1480000
house,Distrito Federal,19.52395,-99.152881,95,2805000
house,Guerrero,16.757619,-99.767532,140,2750000
house,Yucatán,21.075163,-89.516731,197,1730000
house,Puebla,19.02038,-98.207626,380,3900000
house,Aguascalientes,21.9243493,-102.2833909,140,680000
house,Quintana Roo,21.1351429,-86.837489,80,850000
apartment,Distrito Federal,19.39365,-99.14769,75,2992300
house,Nuevo León,25.733049,-100.22847,200,1320000
house,Baja California Sur,24.141701,-110.347267,275,3500000
house,Jalisco,20.579091,-103.430379,164,1650000
house,Nuevo León,25.731798,-100.349091,180,1410453
house,Estado de México,19.672207,-99.015656,122,2650000
apartment,Estado de México,19.401066,-99.277168,190,5800000
house,Yucatán,21.00227,-89.5650908,131,1322000
house,Quintana Roo,20.680066,-87.038345,208,3360000
apartment,Guerrero,16.86483064,-99.87526059,61,850000
house,Jalisco,20.760167,-103.379168,83,850000
house,Estado de México,,,260,3950000
house,Yucatán,21.02838037,-89.56463993,174,675000
house,Tlaxcala,19.341597,-98.215828,180,3200000
house,Veracruz de Ignacio de la Llave,25.596904,-103.4203,118,850000
house,Chiapas,19.665554,-101.235738,115,1475000
house,Nuevo León,,,198,3360000
house,Sinaloa,,,159,1720000
house,Estado de México,19.650003,-99.220367,245,1900000
house,Nuevo León,25.7708161,-100.4340179,100,1150000
house,Tamaulipas,22.2331041,-97.861099,130,1750000
house,Nuevo León,25.723276,-100.401518,278,4570000
house,Puebla,19.044477,-98.328011,260,4500000
house,Estado de México,19.562922,-99.254974,120,870000
apartment,Nuevo León,25.580088,-100.239685,130,1980000
house,Puebla,19.055344,-98.212046,146,1450000
house,Morelos,23.634501,-102.552788,290,4200000
apartment,Distrito Federal,19.34189,-99.166374,80,1855900
house,Estado de México,19.404718,-99.263313,139,4800000
house,Querétaro,20.675023,-100.457086,304,5200000
house,Puebla,,,252,2484000
house,Estado de México,19.532259,-99.23214,220,3876000
house,Tamaulipas,22.313122,-97.858559,193,950000
house,Tamaulipas,22.29275303,-97.89062485,88,1150000
house,Morelos,18.864874,-98.925911,130,1650000
house,Querétaro,20.726007,-100.442642,290,3790000
apartment,Distrito Federal,,,120,5250000
house,Nayarit,20.7204378,-105.2706825,152,1250000
house,Veracruz de Ignacio de la Llave,19.1368849,-96.1093008,130,1100000
apartment,Estado de México,19.291351,-99.668945,85,912000
apartment,Morelos,18.9242095,-99.2215659,80,750000
apartment,Quintana Roo,21.152496,-86.869834,99,2800000
house,Puebla,19.027103,-98.270025,166,1580000
house,Nuevo León,25.56551,-100.223213,350,4250000
house,Nuevo León,,,210,1300000
house,Morelos,18.813505,-98.953514,140,1200000
house,Yucatán,21.039522,-89.563911,253,2285000
house,Morelos,18.804409,-98.959038,230,1250000
house,Guerrero,,,180,950000
house,Nuevo León,25.584658,-100.257912,350,4990000
house,Estado de México,19.225745,-99.567856,270,3950000
house,Jalisco,20.763189,-103.389053,95,1550000
house,Distrito Federal,19.383512,-99.084804,115,1790000
house,Jalisco,20.6460186,-105.2267944,160,2400000
apartment,Distrito Federal,19.367025,-99.170349,85,3150000
house,San Luis Potosí,,,350,4850000
house,Querétaro,,,230,2550000
house,Querétaro,20.604974,-100.409786,110,990000
house,Aguascalientes,21.93248,-102.297005,305,3650000
house,Puebla,,,267,3350000
house,San Luis Potosí,22.133745,-101.016029,126,2149000
apartment,Puebla,19.054064,-98.245911,87,892500
house,Puebla,19.0303511,-98.3143192,122,2160000
house,Morelos,18.947784,-99.201675,300,4600000
house,Veracruz de Ignacio de la Llave,,,233,1650000
apartment,Distrito Federal,19.3418937,-99.2245237,145,4650000
house,Estado de México,,,96,970000
house,Veracruz de Ignacio de la Llave,20.963127,-97.385071,200,3500000
house,Estado de México,19.550089,-99.214828,87,969000
house,Baja California,,,101,1208661
house,Tamaulipas,22.307415,-97.859846,61,640000
house,Morelos,18.8879389,-99.0247871,76,1300000
house,Yucatán,21.030668,-89.599258,144,1649000
apartment,Veracruz de Ignacio de la Llave,19.10283721,-96.11123085,160,1750000
house,Distrito Federal,19.353592,-99.177275,360,4386000
house,Yucatán,,,223,2350440
house,Estado de México,,,196,1030000
house,Yucatán,21.01144518,-89.57977295,222,2150000
house,Estado de México,19.263756,-99.540924,134,1750000
house,Estado de México,19.415097,-98.918523,85,940000
house,Distrito Federal,19.471368,-99.08649,280,2680000
house,Querétaro,,,217,3000000
house,Veracruz de Ignacio de la Llave,19.125807,-96.104954,251,2650000
house,Distrito Federal,19.414261,-99.104118,167,4500000
house,Baja California,32.469454,-117.003688,93,1699000
house,Estado de México,19.5224961,-99.255074,230,4326000
house,Yucatán,21.039522,-89.563911,181,1860000
house,Quintana Roo,20.6295586,-87.0738851,143,2430000
house,Veracruz de Ignacio de la Llave,19.17078,-96.12487,380,4500000
house,Chiapas,16.756552,-93.181732,326,3652132
house,Querétaro,20.5745579,-100.4129676,160,3700000
house,Jalisco,20.62192,-103.259237,250,2100000
apartment,Yucatán,21.06334852,-89.61303592,60,889000
house,Nuevo León,25.749624,-100.304192,172,2300000
house,Puebla,19.036623,-98.190544,204,1500000
house,Distrito Federal,19.358008,-99.127094,95,1922000
house,Chiapas,19.701565,-101.270798,250,1200000
apartment,Distrito Federal,19.415143,-99.14685,70,692000
house,Veracruz de Ignacio de la Llave,18.1479784,-94.4626507,157,2300000
apartment,Puebla,,,180,3790000
apartment,Guerrero,16.794599,-99.83012,230,3950000
house,Querétaro,20.594322,-100.365929,298,3300000
house,Morelos,18.919898,-98.978835,190,1850000
house,Veracruz de Ignacio de la Llave,19.074387,-96.086259,245,2875000
house,Guerrero,16.758724,-99.767563,142,1900000
house,Chiapas,,,122,1650000
house,Estado de México,19.650003,-99.220367,132,2605000
house,Estado de México,19.72876,-99.461708,90,1335000
apartment,Puebla,,,135,2400000
house,Jalisco,23.634501,-102.552788,127,1600000
house,Yucatán,20.999449,-89.6334,300,4350000
house,Yucatán,21.0411724,-89.5550539,215,1865085
house,Chihuahua,,,160,970000
house,Puebla,19.105051,-98.243682,170,1850000
apartment,Yucatán,21.0381057,-89.5933722,186,2826054
house,Veracruz de Ignacio de la Llave,19.136782,-96.123543,210,1700000
house,Baja California,32.63496,-115.391907,110,1950000
house,Yucatán,21.039522,-89.563911,223,2392607
